Date,Commodity,Price,Volume
2023-01-01,oil,70.99,1933
2023-01-02,oil,70.72,2140
2023-01-03,oil,72.01,1133
2023-01-04,oil,75.06,3105
2023-01-05,oil,74.59,4627
2023-01-06,oil,74.12,1684
2023-01-07,oil,77.28,3719
2023-01-08,oil,78.82,3220
2023-01-09,oil,77.88,2852
2023-01-10,oil,78.96,1814
2023-01-11,oil,78.03,2172
2023-01-12,oil,77.1,1079
2023-01-13,oil,77.59,3933
2023-01-14,oil,73.76,4284
2023-01-15,oil,70.31,1202
2023-01-16,oil,69.19,3811
2023-01-17,oil,67.16,2252
2023-01-18,oil,67.79,2699
2023-01-19,oil,65.97,2250
2023-01-20,oil,63.15,2682
2023-01-21,oil,66.08,2555
2023-01-22,oil,65.63,4512
2023-01-23,oil,65.76,4473
2023-01-24,oil,62.91,3094
2023-01-25,oil,61.82,2256
2023-01-26,oil,62.05,4376
2023-01-27,oil,59.74,2549
2023-01-28,oil,60.5,2166
2023-01-29,oil,59.29,4486
2023-01-30,oil,58.71,4584
2023-01-31,oil,57.51,2396
2023-02-01,oil,61.21,4637
2023-02-02,oil,61.19,4957
2023-02-03,oil,59.07,4330
2023-02-04,oil,60.72,3703
2023-02-05,oil,58.27,1470
2023-02-06,oil,58.69,4018
2023-02-07,oil,54.77,2035
2023-02-08,oil,52.12,2353
2023-02-09,oil,52.51,3783
2023-02-10,oil,53.99,3831
2023-02-11,oil,54.33,1967
2023-02-12,oil,54.1,1357
2023-02-13,oil,53.5,4019
2023-02-14,oil,50.54,4479
2023-02-15,oil,49.1,1667
2023-02-16,oil,48.18,1372
2023-02-17,oil,50.29,2031
2023-02-18,oil,50.98,2145
2023-02-19,oil,47.45,2371
2023-02-20,oil,48.1,3723
2023-02-21,oil,47.33,1089
2023-02-22,oil,45.98,4719
2023-02-23,oil,47.2,3745
2023-02-24,oil,49.26,4387
2023-02-25,oil,51.12,4249
2023-02-26,oil,49.45,1539
2023-02-27,oil,48.83,3779
2023-02-28,oil,49.49,1868
2023-03-01,oil,51.44,1040
2023-03-02,oil,50.48,1739
2023-03-03,oil,50.11,4775
2023-03-04,oil,47.9,2946
2023-03-05,oil,45.51,3549
2023-03-06,oil,47.13,4006
2023-03-07,oil,49.84,4216
2023-03-08,oil,49.7,2224
2023-03-09,oil,51.71,1928
2023-03-10,oil,52.43,3036
2023-03-11,oil,51.14,4795
2023-03-12,oil,51.86,3508
2023-03-13,oil,54.94,3779
2023-03-14,oil,54.87,3799
2023-03-15,oil,58.0,1924
2023-03-16,oil,52.76,3956
2023-03-17,oil,54.4,2581
2023-03-18,oil,54.58,4618
2023-03-19,oil,53.98,4324
2023-03-20,oil,54.16,1389
2023-03-21,oil,50.19,2617
2023-03-22,oil,49.75,3930
2023-03-23,oil,50.46,1255
2023-03-24,oil,53.42,1708
2023-03-25,oil,52.38,2838
2023-03-26,oil,50.76,2944
2023-03-27,oil,49.76,3497
2023-03-28,oil,51.59,1009
2023-03-29,oil,52.25,3871
2023-03-30,oil,51.19,1797
2023-03-31,oil,52.21,4313
2023-04-01,oil,52.41,4322
2023-04-02,oil,54.35,1876
2023-04-03,oil,52.94,2028
2023-04-04,oil,52.29,4190
2023-04-05,oil,51.5,2015
2023-04-06,oil,48.58,2824
